loc_id,Bl3_id,Bl3_id_uniq
LOC118405016,ABHD3,Abhd3-Loc118405016
LOC118405119,ABHD3,Abhd3-Loc118405119
LOC118422823,Abhd4,Abhd4
LOC118417350,ABHD4,Abhd4-Loc118417350
LOC118422242,ABHD4,Abhd4-Loc118422242
LOC118422836,ABHD6,Abhd6
LOC118421676,ABHD6,Abhd6-Loc118421676
LOC118409073,ABHD8_SPG21,Abhd8-Spg21
LOC118403324,ABI2,Abi2
LOC118406049,ABI2,Abi2-Loc118406049
LOC118427540,ABL1,Abl1
LOC118420419,ABL1,Abl1-Loc118420419
LOC118418363,ABL2,Abl2
LOC118414914,ABLIM1,Ablim1
LOC118425754,ABR,Abr
LOC118405783,ABRA,Abra
LOC118409287,ABT1,Abt1
LOC118415511,ABTB1,Abtb1
LOC118413903,ABTB2,Abtb2
LOC118427907,AC004381.6,Ac004381.6
LOC118415225,AC113404.1,Ac113404.1
LOC118424439,ACAA1,Acaa1
LOC118411941,ACAA2,Acaa2
LOC118407453,ACACA,Acaca
LOC118426045,ACAD10,Acad10
LOC118405800,ACAD11,Acad11
LOC118425698,ACAD8,Acad8
LOC118415194,ACAD9,Acad9
LOC118403143,ACADL,Acadl
LOC118403266,ACADL,Acadl-Loc118403266
LOC118420671,ACADM,Acadm
LOC118426086,ACADS,Acads
LOC118414863,ACADSB,Acadsb
LOC118427578,ACADVL,Acadvl
LOC118430894,ACAP2,Acap2
LOC118422406,ACAT1,Acat1
LOC118413432,ACAT2,Acat2
LOC118403496,ACBD5_NIT2,Acbd5-Nit2
LOC118420523,ACBD6,Acbd6
LOC118405791,ACCS_ACCSL,Accs-Accsl
LOC118403150,ACE,Ace
LOC118403314,ACE,Ace-Loc118403314
LOC118403321,ACE,Ace-Loc118403321
LOC118403507,ACE,Ace-Loc118403507
LOC118403682,ACE,Ace-Loc118403682
LOC118409681,ACE,Ace-Loc118409681
LOC118427679,ACE,Ace-Loc118427679
LOC118409949,ACER2,Acer2
LOC118427470,ACER3,Acer3
LOC118423724,ACHE,Ache
LOC118417189,ACHE_BCHE,Ache-Bche
LOC118425652,ACHE_BCHE,Ache-Bche-Loc118425652
LOC118428688,ACHE_BCHE,Ache-Bche-Loc118428688
LOC118403130,ACHE,Ache-Loc118403130
LOC118408981,ACHE,Ache-Loc118408981
LOC118414994,ACHE,Ache-Loc118414994
LOC118420454,ACHE,Ache-Loc118420454
LOC118420641,ACHE,Ache-Loc118420641
LOC118426894,ACHE,Ache-Loc118426894
LOC118426981,ACHE,Ache-Loc118426981
LOC118418015,ACIN1,Acin1
LOC118424959,ACLY,Acly
LOC118408339,ACMSD,Acmsd
LOC118411918,ACO1,Aco1
LOC118429131,ACO2,Aco2
LOC118416711,ACOD1,Acod1
LOC118410552,ACOT13_C6orf62,Acot13-C6orf62
LOC118415662,ACOT2,Acot2
LOC118415661,ACOT2,Acot2-Loc118415661
LOC118419372,ACOT2,Acot2-Loc118419372
LOC118423242,ACOT7,Acot7
LOC118427053,ACOT9,Acot9
LOC118422253,ACOX1,Acox1
LOC118404016,ACOX1,Acox1-Loc118404016
LOC118404017,ACOX1,Acox1-Loc118404017
LOC118404019,ACOX1,Acox1-Loc118404019
LOC118408935,ACOX1,Acox1-Loc118408935
LOC118422279,ACOX1,Acox1-Loc118422279
LOC118425694,ACOX3,Acox3
LOC118423975,ACOXL,Acoxl
LOC118409509,ACP1,Acp1
LOC118414560,ACP2,Acp2
LOC118407554,ACP2,Acp2-Loc118407554
LOC118405250,ACP5,Acp5
LOC118411591,ACP6,Acp6
LOC118417420,ACP7,Acp7
LOC118408879,ACP7,Acp7-Loc118408879
LOC118410380,ACP7,Acp7-Loc118410380
LOC118417011,ACP7,Acp7-Loc118417011
LOC118417543,ACP7,Acp7-Loc118417543
LOC118432136,ACSBG1,Acsbg1
LOC118422502,ACSF2,Acsf2
LOC118406023,ACSF2,Acsf2-Loc118406023
LOC118409902,ACSF2,Acsf2-Loc118409902
LOC118412201,ACSF2,Acsf2-Loc118412201
LOC118413927,ACSF2,Acsf2-Loc118413927
LOC118413948,ACSF2,Acsf2-Loc118413948
LOC118414737,ACSF2,Acsf2-Loc118414737
LOC118419463,ACSF2,Acsf2-Loc118419463
LOC118421842,ACSF2,Acsf2-Loc118421842
LOC118422278,ACSF2,Acsf2-Loc118422278
LOC118423618,ACSF2,Acsf2-Loc118423618
LOC118426502,ACSF2,Acsf2-Loc118426502
LOC118417533,ACSF3,Acsf3
LOC118411518,ACSL1,Acsl1
LOC118404512,ACSL1,Acsl1-Loc118404512
LOC118411166,ACSL1,Acsl1-Loc118411166
LOC118427473,ACSL4,Acsl4
LOC118415150,ACSL6,Acsl6
LOC118429626,ACSM3,Acsm3
LOC118421444,ACSS1,Acss1
LOC118431945,ACSS2,Acss2
LOC118409447,ACSS2,Acss2-Loc118409447
LOC118414488,ACSS3,Acss3
LOC118428931,ACTA1,Acta1
LOC118413206,ACTA2,Acta2
LOC118430482,ACTB,Actb
LOC118409007,ACTB,Actb-Loc118409007
LOC118424557,ACTC1,Actc1
LOC118430415,ACTL6A,Actl6a
LOC118425023,ACTN1,Actn1
LOC118414767,ACTB,Actnb
LOC118428830,Actnc,Actnc
LOC118426299,ACTR10,Actr10
LOC118413262,ACTR1B,Actr1b
LOC118427016,ACTR2,Actr2
LOC118405300,ACTR3,Actr3
LOC118420986,ACTR5,Actr5
LOC118406339,ACTR6,Actr6
LOC118407718,ACTR8,Actr8
LOC118405722,ACVR1,Acvr1
LOC118403120,ACVR2B,Acvr2b
LOC118416611,ACY1,Acy1
LOC118427009,ACY3,Acy3
LOC118430325,ACYP1,Acyp1
LOC118422490,ACYP2,Acyp2
LOC118422493,ACYP2,Acyp2-Loc118422493
LOC118423243,ADA,Ada
LOC118404667,ADA,Ada-Loc118404667
LOC118409276,ADAL,Adal
LOC118411340,ADAM10,Adam10
LOC118411919,ADAM10,Adam10-Loc118411919
LOC118412071,ADAM10,Adam10-Loc118412071
LOC118412901,ADAM12,Adam12
LOC118412902,ADAM12,Adam12-Loc118412902
LOC118404014,ADAM17,Adam17
LOC118424015,ADAM23,Adam23
LOC118412120,ADAM29,Adam29
LOC118408362,ADAMTS15_TTC28,Adamts15-Ttc28
LOC118412570,ADAMTS16,Adamts16
LOC118409111,ADAMTS17,Adamts17
LOC118420832,ADAMTS18,Adamts18
LOC118417451,ADAMTS18_ADAMTS16,Adamts18-Adamts16
LOC118410949,ADAMTS3,Adamts3
LOC118431655,ADAMTS6,Adamts6
LOC118415913,ADAMTS6,Adamts6-Loc118415913
LOC118432483,ADAMTS7_SYT4,Adamts7-Syt4
LOC118422928,ADAMTS9,Adamts9
LOC118416374,ADAMTS9,Adamts9-Loc118416374
LOC118407029,ADAMTSL3,Adamtsl3
LOC118409149,ADAMTSL5,Adamtsl5
LOC118428897,ADAP1,Adap1
LOC118426132,ADAR,Adar
LOC118408639,ADAR,Adar-Loc118408639
LOC118403953,ADARB2,Adarb2
LOC118418175,ADAT1,Adat1
LOC118404253,ADAT2,Adat2
LOC118423386,ADAT3,Adat3
LOC118409079,ADCK1,Adck1
LOC118419139,ADCK2,Adck2
LOC118417978,ADCK5,Adck5
LOC118417332,ADCY2,Adcy2
LOC118404575,ADCY3,Adcy3
LOC118425098,ADCY5,Adcy5
LOC118405038,ADCY8,Adcy8
LOC118419128,ADCY9,Adcy9
LOC118414726,ADD1,Add1
LOC118414126,ADD1,Add1-Loc118414126
LOC118417706,ADD1,Add1-Loc118417706
LOC118422312,ADGB,Adgb
LOC118415586,ADGRA3,Adgra3
LOC118412849,ADGRA3,Adgra3-Loc118412849
LOC118407632,ADGRB2,Adgrb2
LOC118407978,ADGRB3,Adgrb3
LOC118420876,ADGRD1,Adgrd1
LOC118426228,ADGRG2,Adgrg2
LOC118422941,ADGRG4,Adgrg4
LOC118405400,ADGRG4_ADGRG7_MTNR1A,Adgrg4-Adgrg7-Mtnr1a
LOC118430270,ADGRG4_ADGRL3,Adgrg4-Adgrl3
LOC118404343,ADGRG4,Adgrg4-Loc118404343
LOC118417025,ADGRG4,Adgrg4-Loc118417025
LOC118423075,ADGRG4,Adgrg4-Loc118423075
LOC118412257,ADGRG7,Adgrg7
LOC118430757,ADGRL2,Adgrl2
LOC118426990,ADGRL2_HGF,Adgrl2-Hgf
LOC118411689,ADGRL2,Adgrl2-Loc118411689
LOC118411972,ADGRL2,Adgrl2-Loc118411972
LOC118431656,ADGRL2,Adgrl2-Loc118431656
LOC118431833,ADGRL2,Adgrl2-Loc118431833
LOC118404797,ADGRL3,Adgrl3
LOC118405604,ADGRL3_ADGRL2,Adgrl3-Adgrl2
LOC118425544,ADGRL3,Adgrl3-Loc118425544
LOC118413958,ADGRL3_OLFM1,Adgrl3-Olfm1
LOC118409082,ADGRV1,Adgrv1
LOC118414324,ADH1B,Adh1b
LOC118413138,ADH1B,Adh1b-Loc118413138
LOC118414431,ADH1C_ADH4_ADH1B,Adh1c-Adh4-Adh1b
LOC118417842,ADH5,Adh5
LOC118415927,ADI1,Adi1
LOC118431488,ADIPOQ_COL6A6,Adipoq-Col6a6
LOC118416809,ADIPOR2,Adipor2
LOC118410954,ADK,Adk
LOC118411660,BMP2,Admp
LOC118412943,ADO,Ado
LOC118428575,ADORA2A,Adora2a
LOC118426365,ADORA2B_TXNDC2,Adora2b-Txndc2
LOC118425262,ADPRH,Adprh
LOC118404985,ADPRH,Adprh-Loc118404985
LOC118403597,ADPRHL2,Adprhl2
LOC118429669,ADPRM,Adprm
LOC118406802,ADRA1A,Adra1a
LOC118432481,ADRA1D,Adra1d
LOC118414001,ADRA1D,Adra1d-Loc118414001
LOC118420350,ADRA1D,Adra1d-Loc118420350
LOC118426434,ADRA2A,Adra2a
LOC118429167,ADRA2A,Adra2a-Loc118429167
LOC118403489,ADRA2B,Adra2b
LOC118416256,ADRA2B,Adra2b-Loc118416256
LOC118417388,ADRA2B,Adra2b-Loc118417388
LOC118413814,ADRB2,Adrb2
LOC118404124,ADRM1,Adrm1
LOC118411471,ADSS_ADSSL1,Adss-Adssl1
LOC118429085,AEBP2,Aebp2
LOC118431099,AFAP1,Afap1
LOC118419229,AFF4,Aff4
LOC118403722,AFG3L2,Afg3l2
LOC118403349,AFG3L2,Afg3l2-Loc118403349
LOC118417149,AFG3L2,Afg3l2-Loc118417149
LOC118412522,AFMID,Afmid
LOC118420512,AFMID,Afmid-Loc118420512
LOC118408295,AFTPH,Aftph
LOC118419603,AGA,Aga
LOC118403084,AGAP1,Agap1
LOC118409262,AGBL1,Agbl1
LOC118413175,AGBL2,Agbl2
LOC118404481,AGBL3,Agbl3
LOC118431756,AGBL4,Agbl4
LOC118409969,AGBL5,Agbl5
LOC118427013,AGFG1,Agfg1
LOC118405628,AGGF1,Aggf1
LOC118417134,AGGF1,Aggf1-Loc118417134
LOC118419045,AGK,Agk
LOC118431363,AGL,Agl
LOC118427765,AGMAT,Agmat
LOC118407134,AGMO,Agmo
LOC118404592,AGO2,Ago2
LOC118407485,AGO2,Ago2-Loc118407485
LOC118420785,AGPAT1,Agpat1
LOC118422708,AGPAT4,Agpat4
LOC118410426,AGPAT5,Agpat5
LOC118403566,AGPS,Agps
LOC118430198,AGRN,Agrn
LOC118404585,AGRN,Agrn-Loc118404585
LOC118404599,AGRN,Agrn-Loc118404599
LOC118413687,AGRN,Agrn-Loc118413687
LOC118414204,AGRN,Agrn-Loc118414204
LOC118415160,AGTR1_DHDH,Agtr1-Dhdh
LOC118427252,AGTRAP,Agtrap
LOC118431069,AGXT,Agxt
LOC118431108,AGXT_RCC2,Agxt-Rcc2
LOC118417587,AGXT2,Agxt2
LOC118430825,AHCTF1,Ahctf1
LOC118416520,AHCYL2,Ahcyl2
LOC118417771,AHCYL2,Ahcyl2-Loc118417771
LOC118407877,AHI1,Ahi1
LOC118405719,AHNAK2,Ahnak2
LOC118417689,AHNAK2,Ahnak2-Loc118417689
LOC118429175,AHNAK2,Ahnak2-Loc118429175
LOC118424768,AHSA1,Ahsa1
LOC118427810,AIDA,Aida
LOC118408634,AIF1L,Aif1l
LOC118420356,AIFM1,Aifm1
LOC118426985,AIFM2,Aifm2
LOC118426987,AIFM2,Aifm2-Loc118426987
LOC118427425,AIFM2,Aifm2-Loc118427425
LOC118427426,AIFM2,Aifm2-Loc118427426
LOC118425959,AIFM3,Aifm3
LOC118431727,AIG1,Aig1
LOC118404127,AIG1,Aig1-Loc118404127
LOC118404314,AIG1,Aig1-Loc118404314
LOC118419560,AIMP1,Aimp1
LOC118429682,AIMP2,Aimp2
LOC118426074,AIP,Aip
LOC118404598,AK2,Ak2
LOC118431882,AK4,Ak4
LOC118415962,AK5,Ak5
LOC118420803,AK5,Ak5-Loc118420803
LOC118410217,AK6,Ak6
LOC118418919,AK7,Ak7
LOC118420470,AK8,Ak8
LOC118422377,AK9,Ak9
LOC118425690,AKAP1,Akap1
LOC118425858,AKAP10,Akap10
LOC118419067,AKAP17A,Akap17a
LOC118423371,AKAP6,Akap6
LOC118409519,AKAP7,Akap7
LOC118424505,AKAP9,Akap9
LOC118422458,AKIRIN2,Akirin2
LOC118420820,AKNA,Akna
LOC118424128,AKR1A1,Akr1a1
LOC118404184,AKR1A1,Akr1a1-Loc118404184
LOC118406558,AKR1A1,Akr1a1-Loc118406558
LOC118407402,AKR1A1,Akr1a1-Loc118407402
LOC118411524,AKR1A1,Akr1a1-Loc118411524
LOC118418498,AKR1A1,Akr1a1-Loc118418498
LOC118431052,AKR1A1,Akr1a1-Loc118431052
LOC118432427,AKR1A1,Akr1a1-Loc118432427
LOC118418516,AKR1B1,Akr1b1
LOC118430789,AKR1B10,Akr1b10
LOC118406557,AKR1B10_AKR1A1,Akr1b10-Akr1a1
LOC118409349,AKR1B10,Akr1b10-Loc118409349
LOC118430186,AKR1B10,Akr1b10-Loc118430186
LOC118430480,AKR1B10,Akr1b10-Loc118430480
LOC118428273,AKR7A3,Akr7a3
LOC118412296,AKT1S1,Akt1s1
LOC118412491,AKT3,Akt3
LOC118416993,AKTIP,Aktip
LOC118421759,ALAD,Alad
LOC118415343,ALAS1,Alas1
LOC118406638,ALDH16A1,Aldh16a1
LOC118414706,ALDH18A1,Aldh18a1
LOC118404482,ALDH1A1,Aldh1a1
LOC118404502,ALDH1A1,Aldh1a1-Loc118404502
LOC118409490,ALDH1A2,Aldh1a2
LOC118420468,ALDH1A2,Aldh1a2-Loc118420468
LOC118420854,ALDH1A2,Aldh1a2-Loc118420854
LOC118416886,ALDH1L2,Aldh1l2
LOC118408259,ALDH1L2,Aldh1l2-Loc118408259
LOC118411161,ALDH1L2,Aldh1l2-Loc118411161
LOC118426095,ALDH2,Aldh2
LOC118425787,ALDH3B1,Aldh3b1
LOC118430556,ALDH4A1,Aldh4a1
LOC118412347,ALDH5A1,Aldh5a1
LOC118429970,ALDH6A1,Aldh6a1
LOC118409632,ALDH7A1,Aldh7a1
LOC118404262,ALDH8A1,Aldh8a1
LOC118422089,ALDH9A1,Aldh9a1
LOC118425659,ALDOC,Aldoc
LOC118428827,ALG1,Alg1
LOC118419407,ALG11,Alg11
LOC118415924,ALG12,Alg12
LOC118411276,ALG13,Alg13
LOC118415682,ALG13,Alg13-Loc118415682
LOC118432526,ALG14,Alg14
LOC118431347,ALG2,Alg2
LOC118430771,ALG3,Alg3
LOC118419561,ALG5,Alg5
LOC118432733,ALG6,Alg6
LOC118419518,ALG8,Alg8
LOC118427851,ALG9,Alg9
LOC118415382,ALK,Alk
LOC118410285,ALKBH2,Alkbh2
LOC118408270,ALKBH3,Alkbh3
LOC118428769,ALKBH5,Alkbh5
LOC118419958,ALKBH8,Alkbh8
LOC118416521,ALKBH8,Alkbh8-Loc118416521
LOC118419193,ALKBH8,Alkbh8-Loc118419193
LOC118414808,ALLC,Allc
LOC118414267,ALMS1,Alms1
LOC118407230,ALOX12_ALOX5_ALOX15B_NEDD4L,Alox12-Alox5-Alox15b-Nedd4l
LOC118426947,ALOX12B,Alox12b
LOC118429456,ALOX12B_ALOX5_ALOX15B,Alox12b-Alox5-Alox15b
LOC118408428,ALOX15B,Alox15b
LOC118426513,ALOX5,Alox5
LOC118407226,ALOX5,Alox5-Loc118407226
LOC118407227,ALOX5,Alox5-Loc118407227
LOC118419219,ALOX5,Alox5-Loc118419219
LOC118419222,ALOX5,Alox5-Loc118419222
LOC118419836,ALOX5,Alox5-Loc118419836
LOC118423903,ALOX5,Alox5-Loc118423903
LOC118424144,ALOX5,Alox5-Loc118424144
LOC118427444,ALOX5,Alox5-Loc118427444
LOC118430783,ALOX5,Alox5-Loc118430783
LOC118431903,ALOX5,Alox5-Loc118431903
LOC118412703,ALPK1,Alpk1
LOC118430446,ALPL,Alpl
LOC118418799,ALPL,Alpl-Loc118418799
LOC118420006,ALPL,Alpl-Loc118420006
LOC118430189,ALPL,Alpl-Loc118430189
LOC118405680,ALS2CR12,Als2cr12
LOC118415256,ALX1,Alx1
LOC118428298,ALX4,Alx4
LOC118414179,ALX4_ALX3,Alx4-Alx3
LOC118414178,ALX4,Alx4-Loc118414178
LOC118429269,ALYREF,Alyref
LOC118411634,AMBP,Ambp
LOC118414217,AMBRA1,Ambra1
LOC118415743,AMDHD1,Amdhd1
LOC118419446,AMDHD2,Amdhd2
LOC118418408,AMFR,Amfr
LOC118426891,AMMECR1_AMMECR1L,Ammecr1-Ammecr1l
LOC118414604,AMN,Amn
LOC118422219,AMN,Amn-Loc118422219
LOC118407024,AMN1,Amn1
LOC118426908,AMOT,Amot
LOC118405574,AMPD2,Ampd2
LOC118424815,AMPD2,Ampd2-Loc118424815
LOC118415317,AMT,Amt
LOC118416712,AMY2A,Amy2a
LOC118403630,AMY2B_AMY1A_AMY2A,Amy2b-Amy1a-Amy2a
LOC118429248,AMZ2,Amz2
LOC118423181,ANAPC1,Anapc1
LOC118419752,ANAPC10,Anapc10
LOC118410563,ANAPC13,Anapc13
LOC118419586,ANAPC15,Anapc15
LOC118412037,ANAPC16,Anapc16
LOC118421947,ANAPC2,Anapc2
LOC118414208,ANAPC4,Anapc4
LOC118412190,ANAPC5,Anapc5
LOC118408524,ANAPC7,Anapc7
LOC118416077,ANGEL2,Angel2
LOC118420444,ANGPT1,Angpt1
LOC118405471,ANGPT1,Angpt1-Loc118405471
LOC118412559,ANGPT1,Angpt1-Loc118412559
LOC118404530,ANGPT2,Angpt2
LOC118407468,ANGPT2_ANGPTL1,Angpt2-Angptl1
LOC118430451,ANGPT2_ANGPTL1_ANGPTL7,Angpt2-Angptl1-Angptl7
LOC118414397,ANGPT2,Angpt2-Loc118414397
LOC118415248,ANGPT2,Angpt2-Loc118415248
LOC118416096,ANGPT2,Angpt2-Loc118416096
LOC118422232,ANGPT2,Angpt2-Loc118422232
LOC118423735,ANGPT2,Angpt2-Loc118423735
LOC118423963,ANGPT2,Angpt2-Loc118423963
LOC118430526,ANGPT2,Angpt2-Loc118430526
LOC118430930,ANGPT2,Angpt2-Loc118430930
LOC118431380,ANGPT2,Angpt2-Loc118431380
LOC118426621,ANGPT2_NOTCH2_TRPC5,Angpt2-Notch2-Trpc5
LOC118422683,ANGPT4,Angpt4
LOC118431034,ANGPT4_ANGPTL2,Angpt4-Angptl2
LOC118427770,ANGPT4,Angpt4-Loc118427770
LOC118425108,ANGPTL1,Angptl1
LOC118424472,ANGPTL1_CRISPLD1,Angptl1-Crispld1
LOC118407750,ANGPTL1,Angptl1-Loc118407750
LOC118409820,ANGPTL1,Angptl1-Loc118409820
LOC118411866,ANGPTL1,Angptl1-Loc118411866
LOC118421732,ANGPTL1,Angptl1-Loc118421732
LOC118424876,ANGPTL1,Angptl1-Loc118424876
LOC118424877,ANGPTL1,Angptl1-Loc118424877
LOC118425067,ANGPTL1,Angptl1-Loc118425067
LOC118425520,ANGPTL1,Angptl1-Loc118425520
LOC118427467,ANGPTL1,Angptl1-Loc118427467
LOC118427718,ANGPTL1,Angptl1-Loc118427718
LOC118403827,ANGPTL1_STEAP3,Angptl1-Steap3
LOC118423100,ANGPTL2,Angptl2
LOC118405456,ANGPTL2_ANGPTL1,Angptl2-Angptl1
LOC118421678,ANGPTL2,Angptl2-Loc118421678
LOC118430519,ANGPTL7,Angptl7
LOC118408406,ANGPTL7,Angptl7-Loc118408406
LOC118414619,ANGPTL7,Angptl7-Loc118414619
LOC118420817,ANGPTL7,Angptl7-Loc118420817
LOC118430524,ANGPTL7,Angptl7-Loc118430524
LOC118432003,ANK1,Ank1
LOC118407878,ANK1_ANKRD28_IBA57,Ank1-Ankrd28-Iba57
LOC118408915,ANK1,Ank1-Loc118408915
LOC118410423,ANK1,Ank1-Loc118410423
LOC118412939,ANK1,Ank1-Loc118412939
LOC118414776,ANK1,Ank1-Loc118414776
LOC118413889,ANK1_THG1L,Ank1-Thg1l
LOC118425367,ANK2,Ank2
LOC118405478,ANK2,Ank2-Loc118405478
LOC118407684,ANK2,Ank2-Loc118407684
LOC118410758,ANK2,Ank2-Loc118410758
LOC118428944,ANK2,Ank2-Loc118428944
LOC118422684,ANK3,Ank3
LOC118407689,ANK3_DAPK1,Ank3-Dapk1
LOC118406224,ANK3,Ank3-Loc118406224
LOC118406226,ANK3,Ank3-Loc118406226
LOC118406747,ANK3,Ank3-Loc118406747
LOC118408293,ANK3,Ank3-Loc118408293
LOC118419201,ANK3,Ank3-Loc118419201
LOC118419211,ANK3,Ank3-Loc118419211
LOC118407396,ANKAR,Ankar
LOC118417089,ANKAR,Ankar-Loc118417089
LOC118409691,ANKDD1A,Ankdd1a
LOC118416160,ANKEF1,Ankef1
LOC118428907,ANKFN1,Ankfn1
LOC118426318,ANKFY1,Ankfy1
LOC118419914,ANKH,Ankh
LOC118420106,ANKH,Ankh-Loc118420106
LOC118418095,ANKHD1,Ankhd1
LOC118405627,ANKIB1,Ankib1
LOC118424228,ANKK1,Ankk1
LOC118421421,ANKK1,Ankk1-Loc118421421
LOC118409514,ANKLE1,Ankle1
LOC118409528,ANKLE2,Ankle2
LOC118427364,ANKMY1,Ankmy1
LOC118432754,ANKMY2,Ankmy2
LOC118409906,ANKRA2,Ankra2
LOC118427991,ANKRD1,Ankrd1
LOC118411566,ANKRD1,Ankrd1-Loc118411566
LOC118417444,ANKRD11,Ankrd11
LOC118430214,ANKRD12,Ankrd12
LOC118425501,ANKRD13B,Ankrd13b
LOC118432282,ANKRD13C,Ankrd13c
LOC118414125,ANKRD16,Ankrd16
LOC118411163,ANKRD17,Ankrd17
LOC118417160,ANKRD17,Ankrd17-Loc118417160
LOC118406768,ANKRD2,Ankrd2
LOC118415687,ANKRD26,Ankrd26
LOC118425534,ANKRD27,Ankrd27
LOC118417898,ANKRD27,Ankrd27-Loc118417898
LOC118424016,ANKRD28,Ankrd28
LOC118405685,ANKRD28,Ankrd28-Loc118405685
LOC118415255,ANKRD28,Ankrd28-Loc118415255
LOC118416190,ANKRD28,Ankrd28-Loc118416190
LOC118404827,ANKRD29,Ankrd29
LOC118424718,ANKRD31,Ankrd31
LOC118405345,ANKRD33B,Ankrd33b
LOC118412291,ANKRD33B,Ankrd33b-Loc118412291
LOC118418938,ANKRD37,Ankrd37
LOC118427563,ANKRD39,Ankrd39
LOC118429228,ANKRD40,Ankrd40
LOC118427541,ANKRD42,Ankrd42
LOC118421345,ANKRD45,Ankrd45
LOC118418917,ANKRD46,Ankrd46
LOC118430093,ANKRD49,Ankrd49
LOC118407323,ANKRD50,Ankrd50
LOC118406458,ANKRD50_ANK1,Ankrd50-Ank1
LOC118406786,ANKRD50,Ankrd50-Loc118406786
LOC118410967,ANKRD50,Ankrd50-Loc118410967
LOC118417646,ANKRD50,Ankrd50-Loc118417646
LOC118420352,ANKRD50,Ankrd50-Loc118420352
LOC118408256,ANKRD52,Ankrd52
LOC118414730,ANKRD53,Ankrd53
LOC118425879,ANKRD55,Ankrd55
