Loc_id,Bl3_id,Bl3_id_uniq,Bl3_id_uniq_short
LOC118422466,TUBA1A_TUBA1C_TUBA3D_TUBA1B_TUBA8,TUBA1A_TUBA1C_TUBA3D_TUBA1B_TUBA8,TUBA1A_TUBA1C_TUBA3D_TUBA1B_TUBA8
LOC118422682,FIG4,FIG4,FIG4
LOC118422683,ANGPT4,ANGPT4,ANGPT4
LOC118422760,ATP5O,ATP5O,ATP5O
LOC118422759,Hypp32,Hypp32,Hypp32
LOC118423510,PRDM1,Blimp,PRDM1
LOC118423513,RAB29,RAB29,RAB29
LOC118423511,NSUN5,NSUN5,NSUN5
LOC118422757,RBBP4,RBBP4,RBBP4
LOC118422571,REPS1,REPS1,REPS1
LOC118423284,Hypp35,Hypp35,Hypp35
LOC118423574,SLC16A10,SLC16A10,SLC16A10
LOC118422452,Hypp38,Hypp38,Hypp38
LOC118422454,Hypp39,Hypp39,Hypp39
LOC118422453,Hypp40,Hypp40,Hypp40
LOC118422451,HGD,HGD,HGD
LOC118404249,Hypp41,Hypp41,Hypp41
LOC118426343,CHRNA7_CHRNB3,CHRNA7_CHRNB3,CHRNA7_CHRNB3
LOC118422698,ITGA4_WARS2,ITGA4_WARS2,ITGA4_WARS2
LOC118416082,CYP1A1_CYP2U1,CYP1A1_CYP2U1,CYP1A1_CYP2U1
LOC118423414,HSD17B12,HSD17B12,HSD17B12
LOC118423409,HSD17B12,HSD17B12_LOC118423409,HSD17B12.1
LOC118423408,CYP2U1,CYP2U1,CYP2U1
LOC118412851,CYP2U1_CYP2J2,CYP2U1_CYP2J2,CYP2U1_CYP2J2
LOC118423413,Hypp46,Hypp46,Hypp46
LOC118423412,Hypp47,Hypp47,Hypp47
LOC118423410,Hypp48,Hypp48,Hypp48
LOC118423411,Hypp49,Hypp49,Hypp49
LOC118423668,Hypp51,Hypp51,Hypp51
LOC118413432,ACAT2,ACAT2,ACAT2
LOC118422253,ACOX1,ACOX1,ACOX1
LOC118422252,PUS3,PUS3,PUS3
LOC118405938,SOBP_UAP1,SOBP_UAP1,SOBP_UAP1
LOC118422752,SOBP,SOBP,SOBP
LOC118422748,SORD,SORD_LOC118422748,SORD.1
LOC118422750,REV3L_POLD1,REV3L_POLD1,REV3L_POLD1
LOC118422639,MARCO_COL6A5,MARCO_COL6A5,MARCO_COL6A5
LOC118422248,PM20D2,PM20D2,PM20D2
LOC118422951,PM20D2,PM20D2_LOC118422951,PM20D2.1
LOC118422504,LAP3,LAP3,LAP3
LOC118422503,NOX4,NOX4,NOX4
LOC118422959,SPAG17,SPAG17,SPAG17
LOC118422952,PPIL4,PPIL4,PPIL4
LOC118422939,OIT3,OIT3,OIT3
LOC118422570,FBLN2_PEBP1,FBLN2_PEBP1,FBLN2_PEBP1
LOC118422507,TRIM3_TRIM2,TRIM3_TRIM2,TRIM3_TRIM2
LOC118423448,VWA7,VWA7,VWA7
LOC118423474,Hypp58,Hypp58,Hypp58
LOC118422502,ACSF2,ACSF2,ACSF2
LOC118422920,CYP2U1_CYP2J2,CYP2U1_CYP2J2_LOC118422920,CYP2U1_CYP2J2.1
LOC118422263,ZNF133,ZNF133,ZNF133
LOC118423449,CDC5L,CDC5L,CDC5L
LOC118423487,DONSON,DONSON,DONSON
LOC118422821,Hypp63,Hypp63,Hypp63
LOC118422769,CCDC81,CCDC81,CCDC81
LOC118422992,MID2_RNF17,MID2_RNF17,MID2_RNF17
LOC118422780,Hypp64,Hypp64,Hypp64
LOC118422794,CCDC174,CCDC174,CCDC174
LOC118408415,HDC,HDC,HDC
LOC118422976,CEP57,CEP57,CEP57
LOC118423090,ST6GALNAC2,ST6GALNAC2,ST6GALNAC2
LOC118426295,NLRC4_NLRC3_NLRP12,NLRC4_NLRC3_NLRP12,NLRC4_NLRC3_NLRP12
LOC118422816,LRP2,LRP2,LRP2
LOC118422996,PKHD1L1,PKHD1L1,PKHD1L1
LOC118423053,HNMT,HNMT,HNMT
LOC118422380,TTC28_SF3A1_KLC1,TTC28_SF3A1_KLC1,TTC28_SF3A1_KLC1
LOC118423237,KCNA3,KCNA3,KCNA3
LOC118423250,SYF2,SYF2,SYF2
LOC118405483,Hypp66,Hypp66,Hypp66
LOC118423242,ACOT7,ACOT7,ACOT7
LOC118428328,Hypp68,Hypp68,Hypp68
LOC118423229,DPYD,DPYD,DPYD
LOC118423246,Hypp69,Hypp69,Hypp69
LOC118417576,MFHAS1,MFHAS1,MFHAS1
LOC118418032,MFSD2A,MFSD2A,MFSD2A
LOC118423233,SEC63,SEC63,SEC63
LOC118423004,EIF2B5,EIF2B5,EIF2B5
LOC118423236,CYBB,CYBB,CYBB
LOC118423256,MGST3,MGST3,MGST3
LOC118423243,ADA,ADA,ADA
LOC118423228,Hypp70,Hypp70,Hypp70
LOC118423254,RET,RET_LOC118423254,RET.1
LOC118423234,CHRNA2,CHRNA2,CHRNA2
LOC118403567,TIGD4,TIGD4,TIGD4
LOC118423251,MEAF6,MEAF6,MEAF6
LOC118423255,SNX12,SNX12,SNX12
LOC118423008,ANKRD6,ANKRD6,ANKRD6
LOC118423238,FZD4,FZD4,FZD4
LOC118423015,SLC10A6,SLC10A6,SLC10A6
LOC118422498,NR2E1,NR2E1,NR2E1
LOC118422497,MRPS31,MRPS31,MRPS31
LOC118423014,SMYD2,SMYD2,SMYD2
LOC118423227,RHOA,RHOA,RHOA
LOC118422895,MFSD4B,MFSD4B,MFSD4B
LOC118423627,CEP126,CEP126,CEP126
LOC118423629,RLIM,RLIM,RLIM
LOC118423149,PFN4,PFN4,PFN4
LOC118422258,NOTCH1,NOTCH1,NOTCH1
LOC118423166,B4GALT1,B4GALT1,B4GALT1
LOC118423497,HSD17B8_HSD17B10,HSD17B8_HSD17B10,HSD17B8_HSD17B10
LOC118408007,XPO4,XPO4,XPO4
LOC118408010,PDXK,PDXK,PDXK
LOC118408009,RFX6,RFX6,RFX6
LOC118408527,CHST15,CHST15,CHST15
LOC118408006,SFT2D2,SFT2D2,SFT2D2
LOC118408004,LATS1,LATS1,LATS1
LOC118407997,ECHS1,ECHS1,ECHS1
LOC118407996,TMEM135,TMEM135,TMEM135
LOC118422802,GRIK2,GRIK2_LOC118422802,GRIK2.2
LOC118405796,TRIM2,TRIM2,TRIM2
LOC118423481,DUSP14,DUSP14,DUSP14
LOC118423464,SRM,SRM,SRM
LOC118423457,CYP4F3,CYP4F3,CYP4F3
LOC118422787,RPE65,RPE65,RPE65
LOC118423177,CCDC83,CCDC83,CCDC83
LOC118422830,FOLR1,FOLR1,FOLR1
LOC118423552,ROS1,ROS1,ROS1
LOC118422697,VGLL2,VGLL2,VGLL2
LOC118422705,HTATSF1,HTATSF1,HTATSF1
LOC118423551,Hypp92,Hypp92,Hypp92
LOC118423170,IRF4,IRF4,IRF4
LOC118423365,KCNA3,KCNA3_LOC118423365,KCNA3.1
LOC118416891,CD209_PKD1L3,CD209_PKD1L3,CD209_PKD1L3
LOC118423031,NPNT,NPNT,NPNT
LOC118423030,MUC4,MUC4,MUC4
LOC118423033,SCUBE3,SCUBE3,SCUBE3
LOC118422481,RPS6KA3,RPS6KA3,RPS6KA3
LOC118413539,Hypp102,Hypp102,Hypp102
LOC118422588,TMEM57,TMEM57,TMEM57
LOC118423034,LTN1,LTN1,LTN1
LOC118423503,COLEC11_CLEC18B,COLEC11_CLEC18B,COLEC11_CLEC18B
LOC118423426,CNBD2,CNBD2,CNBD2
LOC118422799,Hypp106,Hypp106,Hypp106
LOC118422798,GLRA1,GLRA1,GLRA1
LOC118422851,TGFBI,TGFBI,TGFBI
LOC118422852,GLRA3,GLRA3,GLRA3
LOC118407468,ANGPT2_ANGPTL1,ANGPT2_ANGPTL1,ANGPT2_ANGPTL1
LOC118422887,RCAN2,RCAN2,RCAN2
LOC118422870,RDX,RDX,RDX
LOC118422853,MYH7_MYH6,MYH7_MYH6,MYH7_MYH6
LOC118422859,MYH7,MYH7,MYH7
LOC118422867,Hypp116,Hypp116,Hypp116
LOC118422889,TRAPPC3,TRAPPC3,TRAPPC3
LOC118422886,RWDD1,RWDD1,RWDD1
LOC118422421,Hypp119,Hypp119,Hypp119
LOC118422412,RFX6,RFX6_LOC118422412,RFX6.1
LOC118422411,Hypp120,Hypp120,Hypp120
LOC118422247,DNAH8_DNAH5,DNAH8_DNAH5,DNAH8_DNAH5
LOC118423326,PRTG,PRTG,PRTG
LOC118423292,CUL5,CUL5,CUL5
LOC118423333,VBP1,Vbp1,VBP1
LOC118423285,CHD1L,CHD1L,CHD1L
LOC118423324,GPN2,GPN2,GPN2
LOC118423295,RMI1,RMI1,RMI1
LOC118423298,VASN,VASN,VASN
LOC118423299,Hypp128,Hypp128,Hypp128
LOC118423301,Hypp129,Hypp129,Hypp129
LOC118423317,UBE3D,UBE3D,UBE3D
LOC118423280,TTC28_KLC3,TTC28_KLC3,TTC28_KLC3
LOC118423320,HSDL1,HSDL1,HSDL1
LOC118423329,GSTA4,GSTA4,GSTA4
LOC118423300,RRH,RRH,RRH
LOC118423293,Hypp131,Hypp131,Hypp131
LOC118422231,PPP1R9A,PPP1R9A,PPP1R9A
LOC118423288,IFT88,IFT88,IFT88
LOC118423331,RIPK1,RIPK1,RIPK1
LOC118423322,HSD17B6,HSD17B6,HSD17B6
LOC118423286,Hypp132,Hypp132,Hypp132
LOC118423313,REST,REST,REST
LOC118423328,SOD2,SOD2,SOD2
LOC118423305,WTAP,WTAP,WTAP
LOC118423312,NFS1,NFS1,NFS1
LOC118423310,NT5DC1,NT5DC1,NT5DC1
LOC118408499,PKHD1L1,PKHD1L1_LOC118408499,PKHD1L1.1
LOC118423277,PKHD1L1,PKHD1L1_LOC118423277,PKHD1L1.2
LOC118429723,HAO1_HAO2,HAO1_HAO2,HAO1_HAO2
LOC118422527,PKHD1L1,PKHD1L1_LOC118422527,PKHD1L1.3
LOC118423017,SLC22A4,SLC22A4,SLC22A4
LOC118422720,CDH6,Cdh6,CDH6
LOC118422450,NCK2,NCK2,NCK2
LOC118422448,SRRM1,SRRM1,SRRM1
LOC118423565,TYW5,TYW5,TYW5
LOC118422460,TMPRSS9,TMPRSS9,TMPRSS9
LOC118422459,SYNCRIP,SYNCRIP,SYNCRIP
LOC118423160,SF3A3,SF3A3,SF3A3
LOC118430770,MRC1,MRC1,MRC1
LOC118422189,MMS22L,MMS22L,MMS22L
LOC118422765,POU3F4,Pou3f4,POU3F4
LOC118423550,DNAJB13,DNAJB13,DNAJB13
LOC118423549,SUPT3H,SUPT3H,SUPT3H
LOC118423548,RUNX1,Runx1,RUNX1
LOC118423385,ARFGEF3,ARFGEF3,ARFGEF3
LOC118423384,HYDIN,HYDIN,HYDIN
LOC118422778,Hypp147,Hypp147,Hypp147
LOC118422779,Hypp148,Hypp148,Hypp148
LOC118422656,NLRC4,NLRC4,NLRC4
LOC118422839,OLIG3,OLIG3,OLIG3
LOC118422593,OLIG3,OLIG3_LOC118422593,OLIG3.1
LOC118422591,DDX18,DDX18,DDX18
LOC118422592,MRPS15,MRPS15,MRPS15
LOC118422583,RPL13A,RPL13A,RPL13A
LOC118422577,KRT5_LAMA2,KRT5_LAMA2,KRT5_LAMA2
LOC118422585,Hypp152,Hypp152,Hypp152
LOC118422186,Hypp154,Hypp154,Hypp154
LOC118422578,CALCOCO2,CALCOCO2,CALCOCO2
LOC118422581,CTSV,CTSV,CTSV
LOC118422580,CTSV,CTSV_LOC118422580,CTSV.1
LOC118422582,CTSV,CTSV_LOC118422582,CTSV.2
LOC118422575,CTSL,CTSL,CTSL
LOC118422576,CTSV,CTSV_LOC118422576,CTSV.3
LOC118422574,CTSV_CTSL,CTSV_CTSL,CTSV_CTSL
LOC118423607,HAO2,HAO2,HAO2
LOC118422973,TMEM50B,TMEM50B,TMEM50B
LOC118422730,MORC3,MORC3,MORC3
LOC118422731,PARK2,PARK2,PARK2
LOC118422406,ACAT1,ACAT1,ACAT1
LOC118422407,PACRG,PACRG,PACRG
LOC118422398,QKI,QKI,QKI
LOC118422401,CTSV,CTSV_LOC118422401,CTSV.4
LOC118422402,HAO1,HAO1,HAO1
LOC118422181,TGFBRAP1,TGFBRAP1,TGFBRAP1
LOC118422399,Hypp158,Hypp158,Hypp158
LOC118422405,WASF3_NHSL1,WASF3_NHSL1,WASF3_NHSL1
LOC118422404,SOCS2,SOCS2,SOCS2
LOC118422403,SOCS2,SOCS2_LOC118422403,SOCS2.1
LOC118423397,LAMA2,LAMA2,LAMA2
LOC118422803,MBTPS2,MBTPS2,MBTPS2
LOC118422929,Hypp899,Hypp899,Hypp899
LOC118422129,DDAH1,DDAH1,DDAH1
LOC118422391,ISCU,ISCU,ISCU
LOC118422389,Hypp160,Hypp160,Hypp160
LOC118422388,WDR4,WDR4,WDR4
LOC118422390,DNAJC8,DNAJC8,DNAJC8
LOC118423189,TRIM56_TRIM2_TRIM33,TRIM56_TRIM2_TRIM33,TRIM56_TRIM2_TRIM33
LOC118422613,GRM3,GRM3,GRM3
LOC118422614,CHAF1B,CHAF1B,CHAF1B
LOC118422615,Hypp161,Hypp161,Hypp161
LOC118423494,CHRNA7,CHRNA7,CHRNA7
LOC118423661,CHRNA7,CHRNA7_LOC118423661,CHRNA7.1
LOC118422169,TMEM39B,TMEM39B,TMEM39B
LOC118422631,FBXO21,FBXO21,FBXO21
LOC118422629,USP16,USP16,USP16
LOC118423372,Hypp162,Hypp162,Hypp162
LOC118423380,Hypp164,Hypp164,Hypp164
LOC118422735,CUZD1_DMBT1,CUZD1_DMBT1,CUZD1_DMBT1
LOC118422168,OIT3,OIT3_LOC118422168,OIT3.1
LOC118422167,CUZD1,CUZD1,CUZD1
LOC118422164,OIT3,OIT3_LOC118422164,OIT3.2
LOC118423647,KLHL9,KLHL9,KLHL9
LOC118423650,EIF2S3,EIF2S3,EIF2S3
LOC118422840,ARHGAP20,ARHGAP20,ARHGAP20
LOC118422842,ME1,ME1,ME1
LOC118422843,PRSS23,PRSS23,PRSS23
LOC118423268,GOPC_ATG5,GOPC_ATG5,GOPC_ATG5
LOC118423267,NLRC4,NLRC4_LOC118423267,NLRC4.1
LOC118422543,Hypp168,Hypp168,Hypp168
LOC118423154,METTL24,METTL24,METTL24
LOC118422163,WASF3,WASF3,WASF3
LOC118423655,CDC40,CDC40,CDC40
LOC118423657,CHORDC1,CHORDC1,CHORDC1
LOC118423206,MLYCD,MLYCD,MLYCD
LOC118423216,Hypp171,Hypp171,Hypp171
LOC118423203,TIMM13_SH3KBP1,TIMM13_SH3KBP1,TIMM13_SH3KBP1
LOC118422161,SMARCAD1,SMARCAD1,SMARCAD1
LOC118429119,ST6GAL1,ST6GAL1,ST6GAL1
LOC118423214,GINM1,GINM1,GINM1
LOC118422160,DNAH5,DNAH5,DNAH5
LOC118423212,PDHA2,PDHA2,PDHA2
LOC118423199,MAP7,MAP7,MAP7
LOC118422159,CHADL,CHADL,CHADL
LOC118423218,Hypp177,Hypp177,Hypp177
LOC118423220,CDKAL1,CDKAL1,CDKAL1
LOC118411687,TRIM2_TRIM45,TRIM2_TRIM45,TRIM2_TRIM45
LOC118423215,YRDC,YRDC,YRDC
LOC118423200,HUNK,HUNK,HUNK
LOC118423213,ZNF451,ZNF451,ZNF451
LOC118423221,TRIM3,TRIM3,TRIM3
LOC118423205,WDSUB1,WDSUB1,WDSUB1
LOC118423210,FMO4,FMO4,FMO4
LOC118423201,PAXBP1,PAXBP1,PAXBP1
LOC118423204,MAP3K7,MAP3K7,MAP3K7
LOC118422156,LAMB1,LAMB1,LAMB1
LOC118423209,Hypp179,Hypp179,Hypp179
LOC118423587,Hypp180,Hypp180,Hypp180
LOC118422773,KLHL9,KLHL9_LOC118422773,KLHL9.1
LOC118422772,KLHL13,KLHL13,KLHL13
LOC118422805,SOCS2,SOCS2_LOC118422805,SOCS2.2
LOC118422475,EVA1C_C21orf59,EVA1C_C21orf59,EVA1C_C21orf59
LOC118422478,SPATS1,SPATS1,SPATS1
LOC118422476,HDAC8,HDAC8,HDAC8
LOC118422479,CTPS1,CTPS1,CTPS1
LOC118422472,SFPQ,SFPQ,SFPQ
LOC118422470,ZMYM3,ZMYM3,ZMYM3
LOC118431488,ADIPOQ_COL6A6,ADIPOQ_COL6A6,ADIPOQ_COL6A6
LOC118422471,Hypp185,Hypp185,Hypp185
LOC118422648,TULP4,TULP4,TULP4
LOC118422652,C17orf75,C17orf75,C17orf75
LOC118422653,RPF2,RPF2,RPF2
LOC118422650,FAM162A_KPNA6,FAM162A_KPNA6,FAM162A_KPNA6
LOC118422649,ZUFSP,ZUFSP,ZUFSP
LOC118422617,STK40,STK40,STK40
LOC118422618,MRPL19,MRPL19,MRPL19
LOC118422616,MAP3K1,MAP3K1,MAP3K1
LOC118422418,SETX,SETX,SETX
LOC118422419,TTK,TTK,TTK
LOC118422641,COL6A5,COL6A5,COL6A5
LOC118422638,COL6A5_COL6A6,COL6A5_COL6A6,COL6A5_COL6A6
LOC118422820,SLC22A5,SLC22A5,SLC22A5
LOC118422413,CDH12_FAT1,CDH12_FAT1,CDH12_FAT1
LOC118422414,GSTA4,GSTA4_LOC118422414,GSTA4.1
LOC118423554,CMSS1,CMSS1,CMSS1
LOC118422642,SLC22A5_SLC22A3,SLC22A5_SLC22A3,SLC22A5_SLC22A3
LOC118422713,ENPP5,ENPP5_LOC118422713,ENPP5.1
LOC118422634,QRSL1,QRSL1,QRSL1
LOC118422709,ARID1B,ARID1B,ARID1B
LOC118423137,CACNA2D1,CACNA2D1,CACNA2D1
LOC118423141,RARS2,RARS2,RARS2
LOC118423139,SENP7,SENP7,SENP7
LOC118423421,LRP2,LRP2_LOC118423421,LRP2.1
LOC118422150,EDIL3,EDIL3,EDIL3
LOC118422633,TTLL2,TTLL2,TTLL2
LOC118422708,AGPAT4,AGPAT4,AGPAT4
LOC118422707,YARS,YARS,YARS
LOC118422754,GRM3,GRM3_LOC118422754,GRM3.1
LOC118422668,DDX10,DDX10,DDX10
LOC118422678,MID1,MID1,MID1
LOC118422669,PGGHG,PGGHG,PGGHG
LOC118422672,NDUFAF4_MANEA,NDUFAF4_MANEA,NDUFAF4_MANEA
LOC118422667,SCAF8_SOD1,SCAF8_SOD1,SCAF8_SOD1
LOC118422670,Hypp196,Hypp196,Hypp196
LOC118422677,CALM1,CALM1,CALM1
LOC118422148,GRIA2_GRIA1,GRIA2_GRIA1,GRIA2_GRIA1
LOC118422147,GRIK1_GRIA3_GRIA2_GRIA1,GRIK1_GRIA3_GRIA2_GRIA1,GRIK1_GRIA3_GRIA2_GRIA1
LOC118423526,CALM1,CALM1_LOC118423526,CALM1.1
LOC118422941,ADGRG4,ADGRG4,ADGRG4
LOC118422942,SHISA4,SHISA4,SHISA4
LOC118422625,XPNPEP2,XPNPEP2,XPNPEP2
LOC118422626,PCNP,PCNP,PCNP
LOC118422130,KIRREL,KIRREL,KIRREL
LOC118422367,HMCN2_HMCN1_KIRREL2,HMCN2_HMCN1_KIRREL2,HMCN2_HMCN1_KIRREL2
LOC118422361,KIRREL,KIRREL_LOC118422361,KIRREL.1
LOC118422382,PICALM,PICALM,PICALM
LOC118407326,SRM,SRM_LOC118407326,SRM.1
LOC118407330,LACE1,LACE1,LACE1
LOC118407332,RECQL,RECQL,RECQL
LOC118407333,PIGA,PIGA,PIGA
LOC118407337,CYP4F22,CYP4F22,CYP4F22
LOC118407834,RLIM,RLIM_LOC118407834,RLIM.1
LOC118407820,SLC16A10,SLC16A10_LOC118407820,SLC16A10.1
LOC118407831,SLC16A2,SLC16A2,SLC16A2
LOC118407815,SLC16A10,SLC16A10_LOC118407815,SLC16A10.2
LOC118407829,SCMH1,SCMH1,SCMH1
LOC118407821,IMPG2,IMPG2,IMPG2
LOC118407835,IMPG2,IMPG2_LOC118407835,IMPG2.1
LOC118407823,CDK8_CDK19,CDK8_CDK19,CDK8_CDK19
LOC118407824,Hypp201,Hypp201,Hypp201
LOC118422865,MSH2,MSH2,MSH2
LOC118422416,SON,SON,SON
LOC118422717,Hypp202,Hypp202,Hypp202
LOC118422719,DGCR6L,DGCR6L,DGCR6L
LOC118422718,KPNA2,KPNA2,KPNA2
LOC118423182,S1PR1,S1PR1,S1PR1
LOC118423045,MUC4,MUC4_LOC118423045,MUC4.1
LOC118423118,TAF12,TAF12,TAF12
LOC118423105,Hypp204,Hypp204,Hypp204
LOC118423074,Hypp205,Hypp205,Hypp205
LOC118423129,DYNLT1,DYNLT1,DYNLT1
LOC118423071,SYTL5,SYTL5,SYTL5
LOC118423100,ANGPTL2,ANGPTL2,ANGPTL2
LOC118423122,SH3BGRL2,SH3BGRL2,SH3BGRL2
LOC118423103,MTX2,MTX2,MTX2
LOC118423081,LCA5_TNKS,LCA5_TNKS,LCA5_TNKS
LOC118423111,DHRS2,DHRS2,DHRS2
LOC118423089,Hypp206,Hypp206,Hypp206
LOC118423084,SLC16A9,SLC16A9,SLC16A9
LOC118423073,TRPA1,TRPA1,TRPA1
LOC118423123,PPP3R1,PPP3R1,PPP3R1
LOC118423117,RIPPLY2,Ripply2,RIPPLY2
LOC118423077,SIM1,Sim,SIM1
LOC118423079,HLCS,HLCS,HLCS
LOC118423092,ST8SIA4,ST8SIA4,ST8SIA4
LOC118423109,PAQR3,PAQR3,PAQR3
LOC118423114,TECR,TECR,TECR
LOC118423110,LRP3,LRP3,LRP3
LOC118423116,ST14,ST14,ST14
LOC118423112,Hypp208,Hypp208,Hypp208
LOC118423080,HDX,HDX,HDX
LOC118423066,CNKSR3,CNKSR3,CNKSR3
LOC118423091,PIGV,PIGV,PIGV
LOC118423093,TADA3,TADA3,TADA3
LOC118423097,UBC_UBB,UBC_UBB,UBC_UBB
LOC118423124,UBE2D4,UBE2D4,UBE2D4
LOC118423046,TRIM2,TRIM2_LOC118423046,TRIM2.1
LOC118423127,SNRPD2,SNRPD2,SNRPD2
LOC118423065,C2CD3,C2CD3,C2CD3
LOC118423099,Hypp210,Hypp210,Hypp210
LOC118423082,SESN1,SESN1,SESN1
LOC118423069,MYO6,MYO6,MYO6
LOC118423067,MAP3K15,MAP3K15,MAP3K15
LOC118423115,BDH2,BDH2,BDH2
LOC118423087,GLRA3,GLRA3_LOC118423087,GLRA3.1
LOC118423075,ADGRG4,ADGRG4_LOC118423075,ADGRG4.1
LOC118423128,COX6A1,COX6A1,COX6A1
LOC118423631,BDH1,BDH1,BDH1
LOC118423539,Hypp213,Hypp213,Hypp213
LOC118423007,EIF1AX,EIF1AX,EIF1AX
LOC118422283,CLIP2,CLIP2,CLIP2
LOC118422686,NDC80,NDC80,NDC80
LOC118422687,ARL13A,ARL13A,ARL13A
LOC118422602,CRYL1,CRYL1,CRYL1
LOC118422603,PEX7,PEX7,PEX7
LOC118422601,DLGAP5,DLGAP5,DLGAP5
LOC118422604,PRDX4,PRDX4,PRDX4
LOC118422600,CCDC181,CCDC181,CCDC181
LOC118422290,ECT2L,ECT2L,ECT2L
LOC118422605,CCDC28B,CCDC28B,CCDC28B
LOC118422606,RPL24,RPL24,RPL24
LOC118422292,CEP97,CEP97,CEP97
LOC118423383,HEY2,HEY2,HEY2
LOC118422753,FAAH2,FAAH2,FAAH2
LOC118422666,TNFAIP3,TNFAIP3,TNFAIP3
LOC118423658,OTUD7B,OTUD7B,OTUD7B
LOC118422294,Hypp216,Hypp216,Hypp216
LOC118423571,UBXN11,UBXN11,UBXN11
LOC118422295,QRSL1,QRSL1_LOC118422295,QRSL1.1
LOC118422610,RTN4IP1,RTN4IP1,RTN4IP1
LOC118422611,FAM76A,FAM76A,FAM76A
LOC118422444,TNFAIP3,TNFAIP3_LOC118422444,TNFAIP3.1
LOC118423186,EED,EED,EED
LOC118422931,PRKG2,PRKG2,PRKG2
LOC118422296,C6orf203,C6orf203,C6orf203
LOC118422300,ST8SIA6,ST8SIA6,ST8SIA6
LOC118422301,CEP85,CEP85,CEP85
LOC118423144,CYP2J2,CYP2J2,CYP2J2
LOC118423145,NUS1,NUS1,NUS1
LOC118422766,Hypp224,Hypp224,Hypp224
LOC118423612,COQ3,COQ3,COQ3
LOC118423378,TMEM192,TMEM192,TMEM192
LOC118422302,NUP43,NUP43,NUP43
LOC118427511,BCHE,BCHE,BCHE
LOC118422304,KIAA0895L,KIAA0895L,KIAA0895L
LOC118423566,EEF1AKMT1,EEF1AKMT1,EEF1AKMT1
LOC118423653,STN1,STN1,STN1
LOC118423532,PPIL6,PPIL6,PPIL6
LOC118422490,ACYP2,ACYP2,ACYP2
LOC118422489,FTH1,FTH1,FTH1
LOC118423596,IRAK1BP1,IRAK1BP1,IRAK1BP1
LOC118422544,MAN1A2,MAN1A2,MAN1A2
LOC118408047,SMCR8,SMCR8,SMCR8
LOC118408029,CASP8AP2,CASP8AP2,CASP8AP2
LOC118408031,C6,C6_LOC118408031,C6
LOC118408045,Hypp228,Hypp228,Hypp228
LOC118408495,RAB39B,RAB39B,RAB39B
LOC118408496,Hypp230,Hypp230,Hypp230
LOC118408049,PLA2G1B,PLA2G1B,PLA2G1B
LOC118408037,LCA5,LCA5,LCA5
LOC118408040,WRB,WRB,WRB
LOC118408039,APEX1,APEX1,APEX1
LOC118415668,BRWD1,BRWD1,BRWD1
LOC118415667,DHDDS,DHDDS,DHDDS
LOC118416417,ARMC2,ARMC2,ARMC2
LOC118416416,HAUS5,HAUS5,HAUS5
LOC118407961,CITED2,CITED2,CITED2
LOC118407960,RPS4X,RPS4X,RPS4X
LOC118407959,SYAP1,SYAP1,SYAP1
LOC118407964,HECA,HECA,HECA
LOC118407962,TXLNA,TXLNA,TXLNA
LOC118407965,MTF1,MTF1,MTF1
LOC118407956,PSMG1,PSMG1,PSMG1
LOC118407968,ZMPSTE24,ZMPSTE24,ZMPSTE24
